"ISN_DOB_BIS_VIOL","BORO","BIN","BLOCK","LOT","ISSUE_DATE","VIOLATION_TYPE_CODE","VIOLATION_NUMBER","HOUSE_NUMBER","STREET","DISPOSITION_DATE","DISPOSITION_COMMENTS","DEVICE_NUMBER","DESCRIPTION","ECB_NUMBER","NUMBER","VIOLATION_CATEGORY","VIOLATION_TYPE"
"2787713","3","3041236","01519","00029","20250109","IMEGNCY","18938","298","MARION STREET","20250304","DISMISSED, SIDEWALK SHED ERECTED",,"INSTALL A SIDEWALK SHED APPROXIMATED 20 FEET AT THE FRONT OF THE BUILD          ING LOCATED AT 298 A MARION STREET TO PROTECT PERSONS ENTERING OR LEAV          ING THE PREMISES",,"V*010925IMEGNCY18938","V*-DOB VIOLATION - DISMISSED","IMEGNCY-IMMEDIATE EMERGENCY                                             ANYTHINGOPTIONAL"
"2788952","2","2114613","02379","00007","20250122","AEUHAZ1","00175","404","EAST 158 STREET","20251031","ECB DISMISSED",,"FAILURE TO CERTIFY CORRECTION ON IMMEDIATELY HAZARDOUS (CLASS 1) ECB VIOLATION","39130865H","V*012225AEUHAZ100175","V*-DOB VIOLATION - DISMISSED","AEUHAZ1-FAIL TO CERTIFY CLASS 1                                         NONE"
"2795652","3","3074129","03257","00005","20251031","EGNCY","19716","201","WILSON AVENUE",,,,"FULLY DEMOLISH THE BUILDING AND GRADE & FENCE SITE",,"V103125EGNCY19716","V-DOB VIOLATION - ACTIVE","EGNCY-EMERGENCY                                                       NONE"
"2795216","4","4170046","08176","00018","20251013","C","25-02318","53-24","241 STREET","20251031","OKAY TO DISMISS DOB VIO AS PER INSP     BADGE #3255 AND REPORT.",,"STRUCTURE RENDERED NON-COMPLIANT. AT TIME OF INSPECTION OBSERVED LARGE          TREE HAS FALLEN AND IMPACTED ROOF AND IS LEANING ON HOUSE. ALSO TREE            HAS DAMAGED APPROX.10' OF FENCE AT EXP.2 (LEFT SIDE OF BUILDING).               VACATE ENTIRE SIDE YARD AT EXP.2 (LEFT SIDE OF BUILDING).",,"V*101325C25-02318","V*-DOB VIOLATION - DISMISSED","C-CONSTRUCTION                                                    OTHER   OPTIONAL"
"2794799","1","1010145","00590","00029","20250926","IMEGNCY","19603","168","WEST 4 STREET","20251105","IED IS RESOLVED. WORK COMPLETED BY OWNERAND VERIFIED BY DOB.",,"PROVIDE APPROXIMATELY 20 LINEAR FEET OF SIDEWALK SHED BETWEEN 168 WEST           4TH STREET AND 172 WEST 4TH STREET, AT EXPOSURE 1. THE SIDEWALK SHED           SHALL BE ERECTED TO PROTECT THE ENTRANCE TO BOTH PROPERTIES, BE INSTAL          LED TIGHT BACK TO THE BUILDING AND EXTEND ACROSS THE SIDEWALK",,"V*092625IMEGNCY19603","V*-DOB VIOLATION - DISMISSED","IMEGNCY-IMMEDIATE EMERGENCY                                             ANYTHINGOPTIONAL"
"2790235","4","4857130","13434","00105","20250304","CLOS","4908897","220-12","147 AVENUE","20251215","CLOSURE/PADLOCK ORDER ISSUED RESCINDED.",,"CLOSURE/PADLOCK ORDER ISSUED",,"V*030425CLOS4908897","V*-DOB VIOLATION - DISMISSED","CLOS-PADLOCK                                                         NONE"
"2817402","1","1077916","00572","00010","20251218","C","25-03237","64","WEST 9 STREET",,,,"STOP ALL WORK UNDER # M00930425 DUE TO NOTICE TO REVOKE PERMIT",,"V121825C25-03237","V-DOB VIOLATION - ACTIVE","C-CONSTRUCTION                                                    OTHER   OPTIONAL"
"2817388","5","5122383","01988","00064","20251217","C","25-03215","168","SUNSET AVENUE",,,,"AS PER SECTION 28-207.2 STOP ALL WORK UNDER PERMIT S00933594-I1 ON              12-25-2025 DUE TO INTENT TO REVOKE APPROVAL & PERMIT. STOP ALL WORK             IMMEDIATELY & MAKE SITE SAF",,"V121725C25-03215","V-DOB VIOLATION - ACTIVE","C-CONSTRUCTION                                                    OTHER   OPTIONAL"
"2791915","1","1058884","01941","00020","20250531","C","25-00941","217","WEST 135 STREET",,,,"STRUCTURAL RENDERED NON- COMPLIANT AT TIME OF INSPECTION OBSERVED               PROPERTY HAS SUSTAINED EXTENSIVE FIRE, WATER AND SMOKE DAMAGE, BROKEN           WINDOWS, DAMAGED/BROKEN WALLS, CEILINGS THROUGHOUT D LINE UNITS AT 2D,          3D, 4D AND 5D. ALSO OPEN FLOOR AT APT 3D.",,"V053125C25-00941","V-DOB VIOLATION - ACTIVE","C-CONSTRUCTION                                                    OTHER   OPTIONAL"
"2791925","3","3099281","04593","00051","20250529","IMEGNCY","19262","108","EAST 91 STREET",,"DELETED BY AFG ON 06/04/25 BECAUSE INCORRECT DATA ENTRY",,"ERECT APPROX. 60",,"V052925IMEGNCY19262","V-DOB VIOLATION - ACTIVE","IMEGNCY-IMMEDIATE EMERGENCY                                             ANYTHINGOPTIONAL"
